zip,borough,n_rentstab_buildings,pct_burden_30_plus,pct_burden_50_plus,renter_total,rentstab_density
10001,Manhattan,137,40.3,18.5,11939,11.47499790602228
10002,Manhattan,603,52.2,27.2,29732,20.28117852818512
10003,Manhattan,664,47.0,23.6,15410,43.08890330953926
10004,Manhattan,4,51.1,19.4,1060,3.773584905660377
10005,Manhattan,8,47.4,26.9,4323,1.850566736062919
10006,Manhattan,10,40.9,24.9,1812,5.518763796909492
10007,Manhattan,24,34.2,14.7,2326,10.318142734307825
10009,Manhattan,537,43.3,20.8,26954,19.922831490687837
10010,Manhattan,165,43.7,22.5,11276,14.632848527846754
10011,Manhattan,532,44.0,20.0,17822,29.850746268656717
10012,Manhattan,350,39.7,19.9,9229,37.92393542095569
10013,Manhattan,297,46.7,24.6,8548,34.74496958352831
10014,Manhattan,496,38.2,19.8,11979,41.40579347190918
10016,Manhattan,368,47.2,24.3,22651,16.24652333230321
10017,Manhattan,74,57.8,33.8,6602,11.208724628900333
10018,Manhattan,59,49.5,24.7,4254,13.869299482839681
10019,Manhattan,373,44.6,18.5,21120,17.660984848484848
10021,Manhattan,387,39.1,20.7,11579,33.42257535193022
10022,Manhattan,245,47.7,26.9,9018,27.16788644932357
10023,Manhattan,611,42.9,22.0,23354,26.162541748736835
10024,Manhattan,696,42.3,18.2,18943,36.74180436044977
10025,Manhattan,737,47.7,29.2,28474,25.883261923157967
10026,Manhattan,374,43.2,23.7,11964,31.260448010698763
10027,Manhattan,519,50.5,29.9,20525,25.28623629719854
10028,Manhattan,511,41.2,21.8,16175,31.5919629057187
10029,Manhattan,564,53.3,29.7,31242,18.0526214710966
10030,Manhattan,321,64.8,38.2,11306,28.392004245533347
10031,Manhattan,553,52.4,31.6,19316,28.629115758956306
10032,Manhattan,517,58.1,28.6,19748,26.17986631557626
10033,Manhattan,436,53.7,29.6,16811,25.935399440842307
10034,Manhattan,296,52.4,27.9,13527,21.882161602720487
10035,Manhattan,310,54.1,30.2,13939,22.239758949709447
10036,Manhattan,274,49.3,22.6,17003,16.114803270011173
10037,Manhattan,113,57.1,31.0,9014,12.536055025515864
10038,Manhattan,51,47.3,23.1,6951,7.3370738023306
10039,Manhattan,175,55.2,26.1,11195,15.631978561857972
10040,Manhattan,291,53.6,34.2,13347,21.802652281411554
10044,Manhattan,2,56.5,32.0,4199,0.4763038818766373
10065,Manhattan,235,44.8,23.7,10336,22.736068111455108
10069,Manhattan,5,41.7,20.8,2100,2.380952380952381
10075,Manhattan,227,48.1,21.2,6328,35.87231352718078
10128,Manhattan,535,40.8,24.2,21089,25.368675612878754
10162,Manhattan,1,51.6,49.5,746,1.3404825737265416
10280,Manhattan,2,34.3,21.9,2780,0.7194244604316548
10282,Manhattan,7,40.0,17.1,2104,3.326996197718631
10301,StatenIsland,79,55.4,27.5,7900,10.0
10302,StatenIsland,24,72.8,42.9,2722,8.81704628949302
10303,StatenIsland,7,60.8,41.4,3053,2.2928267278087127
10304,StatenIsland,38,55.8,31.7,7988,4.757135703555333
